Qty, Part, Value, LCSC Part Number, price jan. 2026 (/MOQ), Link
  1, ATTINY1616-MNR, -,  C507118, $0.911 (/1), https://www.lcsc.com/product-detail/C507118.html
  1, metal CR2016 Cell holder, -, C2979176, $0.76 (/5), https://www.lcsc.com/product-detail/C2979176.html
  1, MLCC 0805, 10µF, C1713, $0.26 (/20), https://www.lcsc.com/product-detail/C1713.html
  1, Tactile Switch TS-1075S-A1B2-D4, -, C492872, $0.6 (/10), https://www.lcsc.com/product-detail/C492872.html
  2, MLCC 0603, 100nF, C66501, $0.35(/100), https://www.lcsc.com/product-detail/C66501.html
  1, SMD resistor 0402, 200k, C2906866, $0.05 (/100), https://www.lcsc.com/product-detail/C2906866.html
  7, SMD resistor 0402, 1k, C2906864, $0.05 (/100), https://www.lcsc.com/product-detail/C2906864.html
  7, Orange LED XL-1608UOC-06 0603, Vf=2.3V, C965800, $0.69 (/100), https://www.lcsc.com/product-detail/C965800.html
  1, Custom PCB,,,$4, I used JLCPCB services https://jlcpcb.com 
,,,,,
,,,,,
,1mm thin transparent acrylic sheet,,,, I used Snijlab laser cutting services https://snijlab.nl/en
,3d printed case,,,, I used JLC3DP MJF Nylon PA12S-HP 3D printing services https://jlc3dp.com/3d-printing-quote
,CR2016 Coin cell,,,, Physical Store
